Name,Tier,Type,Description,Motives and Tactics,Difficulty,Thresholds,HP,Stress,ATK,Attack,Range,Damage,Experience,Feature 1 Name,Feature 1 Text,Feature 2 Name,Feature 2 Text,Feature 3 Name,Feature 3 Text,Feature 4 Name,Feature 4 Text,Feature 5 Name,Feature 5 Text,Feature 6 Name,Feature 6 Text,Feature 7 Name,Feature 7 Text
Tiny Red Ooze,1,Skulk,A small moving mound of translucent fl aming red slime,"Blaze, camoufl age",11,5/None,2,1,−1,Ooze Appendage,Melee,1d4+2 mag,,Burning,"When a creature within Melee range deals damage to the Ooze, they take 1d6 direct magic damage.",,,,,,,,,,,,
Panther,1,Skulk,A large feline predator that stalks its prey from the shadows.,"Climb trees, pounce, stalk",14,5/10,4,3,+2,Teeth and Claws,Melee,1d8+1 phy,"Keen Senses +3, Slink +3",Shadow Stalker,"While Hidden, the Panther gains a +2 bonus to its attack rolls.",Pouncing Strike,"Mark a Stress to have the Panther leap into Melee range of a target within Far range and make an attack against them. On a success, deal 1d12+2 physical damage. 106 Daggerheart SRD",,,,,,,,,,
Phantom,1,Standard,The echo of a lost soul in the form of an ectoplasmic shadow.,"Create cold spots, swoop through the air,",11,5/None,2,1,−1,Chill Touch,Melee,1d6+2 mag,Spooky +3,Incorporeal,The Phantom has resistance to physical damage and can move through solid objects.,Fear Aura,A PC who takes the spotlight within Very Close range of the Phantom must succeed on a Presence Reaction Roll (10) or mark a Stress.,Lingering Haunt,"Countdown (1d6). When the Phantom is defeated, you can spend a Fear to activate the countdown. It ticks down when a PC rolls with Fear. When it triggers, clear the Phantom’s HP and immediately spotlight them.",,,,,,,,
Pirate Captain,1,Leader,"A charismatic sea dog with an impressive hat, eager to raid and plunder.","Command, make ’em walk the plank, plunder,",14,7/14,7,5,+4,Cutlass,Melee,1d12+2 phy,"Commander +2, Sailor +3",Swashbuckler,"When the Captain marks 2 or fewer HP from an attack within Melee range, the attacker must mark a Stress.",Reinforcements,"Once per scene, mark a Stress to summon a Pirate Raiders Horde, which appears at Far range.",No Quarter,"Spend a Fear to choose a target who has three or more Pirates within Melee range of them. The Captain leads the Pirates in hurling threats and promises of a watery grave. The target must make a Presence Reaction Roll. On a failure, the target marks 1d4+1 Stress. On a success, they must mark a Stress.",Momentum,"When the Captain makes a successful attack against a PC, you gain a Fear. PIRATE RAIDERS Tier  Horde (/HP) Seafaring scoundrels moving in a ravaging pack. Motives & Tactics: Gang up, plunder, raid Diffi culty: 12 | Thresholds: 5/11 | HP: 4 | Stress: 3 ATK: +1 | Cutlass: Melee | 1d8+2 phy Experience: Sailor +3 FEATURES",Horde (1d4+1),"When the Raiders have marked half or more of their HP, their standard attack deals 1d4+1 physical damage instead.",Swashbuckler,"When the Raiders mark 2 or fewer HP from an attack within Melee range, the attacker must mark a Stress.",,
Pirate Tough,1,Bruiser,A thickly muscled and tattooed pirate with melon-sized fi sts.,"Plunder, raid, smash, terrorize",13,8/15,5,3,+1,Massive Fists,Melee,2d6 phy,Sailor +2,Swashbuckler,"When the Tough marks 2 or fewer HP from an attack within Melee range, the attacker must mark a Stress.",Clear the Decks,"Make an attack against a target within Very Close range. On a success, mark a Stress to move into Melee range of the target, dealing 3d4 physical damage and knocking the target back to Close range.",,,,,,,,,,
Poltergeist,1,Ranged,"A baleful, translucent spirit that possesses inanimate objects.","Flicker candles, rattle chains, shake windows,",9,4/None,2,2,−1,Thrown Object,Far,1d6+3 phy,Spooky +3,Specter,The Poltergeist has resistance to physical damage. Mark a Stress to move up to Close range through solid objects.,Possessor,"Mark a Stress to have the Poltergeist inhabit a nonmagical object that is entirely within Close range, infusing the object with a ghostly glow. The next time the Poltergeist would take damage, the object is destroyed instead, and the Poltergeist is expelled from it.",Ghost Storm,"Spend a Fear to have the Poltergeist pull all unequipped nonmagical objects within Very Close range into a violent vortex. Each target in that area must make an Agility Reaction Roll. Targets who fail take 1d12+2 physical damage. Targets who succeed take half damage. RABBLE MAWB Tier  Horde (/HP) These cat-sized balls of hair, limbs, and teeth travel in a “mawb” of a dozen. Motives & Tactics: Chitter and chew, clump together, roll around Diffi culty: 8 | Thresholds: 4/8 | HP: 4 | Stress: 2 ATK: −2 | Chomp: Melee | 1d6+3 phy Experience: Underground +2 FEATURES",Horde (1d4+1),"When the Rabble Mawb has marked half or more of its HP, its standard attack deals 1d4+1 physical damage instead.",Come Back Worse,"When the Rabble Mawb is defeated, you can spend a Fear to bring it back to life, clearing all HP and Stress. The Rabble Mawb gains a bonus to all rolls equal to the number of times this feature has been used by this Rabble Mawb. REDCAP BITERS Tier  Horde (/HP) A troop of fi st-sized fey creatures who have needle-sharp teeth and conical red caps sealed on their heads with candle wax. Motives & Tactics: Bring ’em down, celebrate tiny victories, giggle and chitter, scamper between the walls Diffi culty: 10 | Thresholds: 6/11 | HP: 5 | Stress: 3 ATK: −1 | Gnash: Melee | 1d8+4 phy Experience: Nooks and Crannies +3 FEATURES",Horde (1d4+2),"When the Biters have marked half or more of their HP, their standard attack deals 1d4+2 physical damage instead.",Ankle Weights,A PC must mark a Stress to move out of the Biters’ Melee range. Daggerheart SRD 107
Redcap Breaker,1,Bruiser,"A large, brutish fey creature who has a conical red cap sealed on their head with candle wax.","Beat chest and bellow, ragdoll puny enemies,",13,8/15,6,3,+1,Wooden Mallet,Melee,1d12+2 phy,Bones +2,Backbreaker,"Mark a Stress to make an attack against a target within Melee range. On a success, deal 3d4+10 physical damage. A target who marks HP from this attack is Restrained until they clear a HP.",Kneecapper,"When the Breaker makes a successful standard attack, you can spend a Fear to make the target temporarily Vulnerable.",,,,,,,,,,
Redcap Butcher,1,Standard,A halfl ing-sized fey creature who hacks their victims apart with a variety of cutting implements. They wear a conical red hat sealed on their head with candle wax.,"Grin disconcertingly, hack and slash, scramble",12,5/10,4,3,+1,Meat Cleaver,Melee,1d8+1 phy,Scurry +2,Chop Happy,"Mark a Stress to make a standard attack against up to three targets. For each target who marks HP, you gain a Fear.",Knife Thrower,"Mark a Stress to make a standard attack against a target within Far range. If the Butcher is Hidden, they make the attack with advantage.",,,,,,,,,,
Redcap Candlemaker,1,Leader,"A pale, gaunt cult leader wearing a conical red cap sealed on their head with candle wax. They wield a long rod with a candle atop it made from a hanged criminal’s hand.","Cast long shadows, keep out of the fray, show",13,7/13,6,3,+3,Burning Candlestick,Very Close,1d10+2 mag,Vigilance +3,Hand of Glory,"When the Candlemaker appears, place 5 tokens on this stat block. Remove a token whenever the Candlemaker marks a HP. While this stat block has 1 or more tokens on it, the Candlemaker is Hidden.",Torchbearer,"The light of the Candlemaker’s Hand of Glory inspires bloodlust in their allies. While this stat block has 1 or more tokens on it, each Redcap adversary within Close range gains a +1 bonus to their damage rolls.",Dance in the Flames,Spend a token from this stat block. The Candlemaker conjures a ball of fi re on a group of PCs within Far range. Each target must make an Agility Reaction Roll. Targets who fail take 2d10 magic damage. Targets who succeed take half damage. 108 Daggerheart SRD,,,,,,,,
Redcap Skinner,1,Minion,A cat-sized fey creature wielding a straight razor and wearing a conical red cap sealed on their head with candle wax.,"Flense, giggle, scrape, slice",9,None,1,1,−1,Razor,Melee,2 phy,Leatherwork +3,Minion (4),"The Skinner is defeated when they take any damage. For every 4 damage a PC deals to the Skinner, the PC defeats an additional Minion within range the attack would succeed against.",Shallow Cuts,"When a PC fails a roll, they take 1 physical damage for each Skinner within Melee range of them. Combine this damage.",Group Attack,"Spend a Fear to choose a target and spotlight all Redcap Skinners within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 2 physical damage each. Combine this damage.",,,,,,,,
Rugaru,1,Solo,A wolf-headed humanoid cursed by the gods to prowl the swamps in search of blood.,"Blaspheme, go for the throat, stalk, terrorize",14,7/14,8,4,+4,Snapping Jaws,Melee,2d8+4 phy,Swamps +3,Relentless (3),The Rugaru can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.,Child of Night,"While in moonlight, the Rugaru gains a +2 bonus to their Diffi culty.",Bloodthirsty,"When a PC marks HP from the Rugaru’s standard attack, add a token to this stat block. The Rugaru gains a bonus to attack rolls equal to the number of tokens on this stat block. Clear all tokens when the Rugaru takes Severe damage.",Howl at the Moon,"Mark a Stress to force each PC within Far range to make a Presence Reaction Roll (15). Targets who fail lose a Hope. Gain a Fear for each Hope lost. If a PC has no Hope, they must mark a Stress and become Vulnerable until they roll with Hope.",Flesh Ripper,"Mark a Stress to make an attack against a target within Melee range. On a success, deal 1d12+2 direct physical damage.",,,,
Sawtoothed Gillbeast,1,Standard,A stocky fi sh creature that has rows of razor-sharp teeth.,"Clamber ashore, hit and run, peek above the",12,5/10,4,2,+1,Waterlogged Weaponry,Close,1d8+1 phy,Aquatic +2,Ka-Chomp,"Mark a Stress to attack a target within Melee range. On a success, the target takes 1d12 physical damage and must mark an Armor Slot without gaining its benefi t (they can still use armor to reduce the damage).",Feeding Frenzy,"When a creature marks HP, you can spend a Fear to spotlight all Sawtoothed Gillbeasts within Very Close range of them. Those Gillbeasts move into Melee range of the creature and each make a standard attack against them. If any attacks succeed, combine their damage.",Scaly,"When the Gillbeast would mark any number of HP, roll a d6. On a result of 6, you can mark a Stress instead.",,,,,,,,
Sellsword,1,Minion,An armed mercenary testing their luck.,"Charge, lacerate, overwhelm, profi t",10,None,1,1,+3,Longsword,Melee,3 phy,,Minion (4),"The Sellsword is defeated when they take any damage. For every 4 damage a PC deals to the Sellsword, defeat an additional Minion within range the attack would succeed against.",Group Attack,"Spend a Fear to choose a target and spotlight all Sellswords within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 3 physical damage each. Combine this damage.",,,,,,,,,,
Skeleton Archer,1,Ranged,A fragile skeleton with a shortbow and arrows.,"Perforate distracted targets, play dead, steal",9,4/7,3,2,+2,Shortbow,Far,1d8+1 phy,,Opportunist,"When two or more adversaries are within Very Close range of a creature, all damage the Archer deals to that creature is doubled.",Deadly Shot,"Make an attack against a Vulnerable target within Far range. On a success, mark a Stress to deal 3d4+8 physical damage.",,,,,,,,,,
Skeleton Dredge,1,Minion,A clattering pile of bones.,"Fall apart, overwhelm, play dead, steal skin",8,None,1,1,−1,Bone Claws,Melee,1 phy,,Minion (4),"The Dredge is defeated when they take any damage. For every 4 damage a PC deals to the Dredge, defeat an additional Minion within range the attack would succeed against.",Group Attack,"Spend a Fear to choose a target and spotlight all Dredges within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 1 physical damage each. Combine this damage.",,,,,,,,,,
